ufid|pmid
http://vivo.ufl.edu/individual/n3705822167|10566365
http://vivo.ufl.edu/individual/n3705822167|10566506
http://vivo.ufl.edu/individual/n3705822167|10890701
http://vivo.ufl.edu/individual/n3705822167|11642147
http://vivo.ufl.edu/individual/n3705822167|11642148
http://vivo.ufl.edu/individual/n3705822167|12807802
http://vivo.ufl.edu/individual/n3705822167|12925542
http://vivo.ufl.edu/individual/n3705822167|14728165
http://vivo.ufl.edu/individual/n3705822167|14728186
http://vivo.ufl.edu/individual/n3705822167|14728205
http://vivo.ufl.edu/individual/n3705822167|14728273
http://vivo.ufl.edu/individual/n3705822167|15361003
http://vivo.ufl.edu/individual/n3705822167|15714625
http://vivo.ufl.edu/individual/n3705822167|15714643
http://vivo.ufl.edu/individual/n3705822167|15797000
http://vivo.ufl.edu/individual/n3705822167|16177695
http://vivo.ufl.edu/individual/n3705822167|16177698
http://vivo.ufl.edu/individual/n3705822167|16779055
http://vivo.ufl.edu/individual/n3705822167|16779080
http://vivo.ufl.edu/individual/n3705822167|17509942
http://vivo.ufl.edu/individual/n3705822167|17948918
http://vivo.ufl.edu/individual/n3705822167|18400772
http://vivo.ufl.edu/individual/n3705822167|18999243
http://vivo.ufl.edu/individual/n3705822167|19761570
http://vivo.ufl.edu/individual/n3705822167|19891801
http://vivo.ufl.edu/individual/n3705822167|20152933
http://vivo.ufl.edu/individual/n3705822167|20383287
http://vivo.ufl.edu/individual/n3705822167|20647054
http://vivo.ufl.edu/individual/n3705822167|21346990
http://vivo.ufl.edu/individual/n3705822167|21347097
http://vivo.ufl.edu/individual/n3705822167|22195158
http://vivo.ufl.edu/individual/n3705822167|22468732
http://vivo.ufl.edu/individual/n3705822167|22981843
http://vivo.ufl.edu/individual/n3705822167|23170033
http://vivo.ufl.edu/individual/n3705822167|24103726
http://vivo.ufl.edu/individual/n3705822167|24345026
http://vivo.ufl.edu/individual/n3705822167|24551417
http://vivo.ufl.edu/individual/n3705822167|24560679
http://vivo.ufl.edu/individual/n3705822167|24778201
http://vivo.ufl.edu/individual/n3705822167|8563271
http://vivo.ufl.edu/individual/n3705822167|8723614
http://vivo.ufl.edu/individual/n3705822167|8947720
http://vivo.ufl.edu/individual/n3705822167|9292840
http://vivo.ufl.edu/individual/n3705822167|9357614
http://vivo.ufl.edu/individual/n3705822167|9929197
http://vivo.ufl.edu/individual/n3705822167|9929198
http://vivo.ufl.edu/individual/n3705822167|9929293
