ufid|pmid
|http://vivo.ufl.edu/individual/n28966|11837458
|http://vivo.ufl.edu/individual/n28966|17971688
|http://vivo.ufl.edu/individual/n28966|20410501
|http://vivo.ufl.edu/individual/n28966|22561518
|http://vivo.ufl.edu/individual/n28966|24169319
|http://vivo.ufl.edu/individual/n28966|11063505
|http://vivo.ufl.edu/individual/n28966|11739864
|http://vivo.ufl.edu/individual/n28966|10532545
|http://vivo.ufl.edu/individual/n28966|9886250
|http://vivo.ufl.edu/individual/n28966|9756722
|http://vivo.ufl.edu/individual/n28966|9203969
|http://vivo.ufl.edu/individual/n28966|8986811
|http://vivo.ufl.edu/individual/n28966|8398986
|http://vivo.ufl.edu/individual/n28966|8396416
|http://vivo.ufl.edu/individual/n28966|8350872
|http://vivo.ufl.edu/individual/n28966|8423804
|http://vivo.ufl.edu/individual/n28966|1652759
|http://vivo.ufl.edu/individual/n28966|1831564
|http://vivo.ufl.edu/individual/n28966|1986866
|http://vivo.ufl.edu/individual/n28966|1900880
|http://vivo.ufl.edu/individual/n28966|2236002
|http://vivo.ufl.edu/individual/n28966|2113879
|http://vivo.ufl.edu/individual/n28966|2113878
|http://vivo.ufl.edu/individual/n28966|1967834
|http://vivo.ufl.edu/individual/n28966|2489032
|http://vivo.ufl.edu/individual/n28966|2501152
|http://vivo.ufl.edu/individual/n28966|3139750
|http://vivo.ufl.edu/individual/n28966|2997735
|http://vivo.ufl.edu/individual/n28966|2410509
|http://vivo.ufl.edu/individual/n28966|2410508
|http://vivo.ufl.edu/individual/n28966|6432680
http://vivo.ufl.edu/individual/n28966|2493991
